BTRK     -11    19     3     0     0     0     0     0     0
BTRK     -66     7     2    45    19     3   -28    19     4
BTRK     -35     3     2   -18    11     3    59    43     3
BTRK      28    15     2    45    47     3     0     0     0
OTRK-    -86    23     3   -72    51     2     0     0     0
OTRK-    -80    15     6  -106    23     3   -86    47     3
OTRK-    -86    19     3   -86    63     3  -106    95     1
OTRK-    -97    47     1   -86    11     3     0     0     0
OTRK-    -90     7     2   -80    63     6  -106    55     1
OTRK-    -92    35     3   -96    75     6     0     0     0
FTRK-   -210    79     3  -215    31     1  -201     3     3
FTRK-   -174    87     3  -129    15     3  -215    27     3
FTRK-   -215    71     3  -197    47     3  -206    63     3
FTRK-   -147    23     2  -201     3     3     0     0     0
FTRK-   -170    51     3  -206    11     3  -201    47     3
FTRK-   -197    27     3  -138    11     1  -179    83     1
# Expected emulator output
#TYPE    POS    PT   PHI   ETA   CHR  VCHR  QUAL  RANK  EMPT (ISO)
FIMD       0   240   175   210     1     1     3   243     0
FIMD       1   240   467   192     0     1     3   243     0
FIMD       2   240     0   210     1     1     3   243     0
FIMD       3   240   519   215     1     1     3   243     0
OIMD       4   280   379    96     0     1     3   283     0
OIMD       5   280   195    90     0     1     2   282     0
OIMD       6   240   119   106     0     1     1   241     0
OIMD       7   140   515   101     0     1     1   141     0
BIMD       8   280   199    45     1     1     3   283     0
BIMD       9   280   379   -11     0     1     3   283     0
BIMD      10   120   571    45     0     1     3   123     0
BIMD      11   120   551    45     1     1     3   123     0
BIMD      12   100   207     0     1     1     3   103     0
BIMD      13    90   567   -39     0     1     3    93     0
BIMD      14    70   415   -66     1     1     2    72     0
BIMD      15    60   123   -11     1     1     2    62     0
OIMD      16   240   311  -106     0     1     1   241     0
OIMD      17   100   415   -90     1     1     2   102     0
OIMD      18    90   167   -86     1     1     3    93     0
OIMD      19    70   235   -86     0     1     3    73     0
FIMD      20   240   287  -215     0     1     3   243     0
FIMD      21   240   263  -197     1     1     3   243     0
FIMD      22   240   315  -201     1     1     3   243     0
FIMD      23    40   459  -170     0     1     3    43     0
OUT        0   280   379    96     0     1     3   283     0     3
OUT        1   280   199    45     1     1     3   283     0     3
OUT        2   280   379   -11     0     1     3   283     0     3
OUT        3   280   195    90     0     1     2   282     0     3
OUT        4   240   175   210     1     1     3   243     0     3
OUT        5   240   467   192     0     1     3   243     0     3
OUT        6   240     0   210     1     1     3   243     0     3
OUT        7   240   519   215     1     1     3   243     0     3
################################################################################
# Event: 2
################################################################################
# Calo sums:
CALO0   0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  2  0  0  0  0  0  0  0  0  0  2  0  0  0  0  0  0  0  0  1  2
CALO1   0  0  0  0  0  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  2  0  0  4  0  0  0  0  0  0  0  0  0  0  0  2
CALO2   0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  2  2  0  0  0  0  0  0  0  0  0  0  0  0
CALO3   0  0  0  0  0  2  2  0  0  0  2  0  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  2  0  0  0  0
CALO4   2  0  0  0  0  0  4  0  0  0  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  2  0
CALO5   0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  2  0  0  1  0  0  1  0  0  0  0  0
CALO6   0  0  6  0  0  0  0  0  0  0  0  2  0  0  0  0  0  0  1  1  0  0  0  0  0  0  0  0  0  0  0  0  3  0  0  1
